,Product Name,New Price,Old Price,Rating
0,DELL Inspiron 15-15 30005 - 2.7GHz Intel Core i3 7130U Processor - 1 TB HDD - 8GB RAM - Windows 10 - Black,2680.0,1850,4.2 out of 5
1,"DELL Inspiron 3582 - Intel Celeron Dual Core N3060 - 500GB HDD - 4GB RAM - 15.6"" - Windows 10 - Black",1530.0,1500,3.4 out of 5
2,"DELL Inspiron 3582 - Intel Celeron N4000U - 15.6"" - 500GB HDD - 4GB RAM - Windows 10 - Black",1450.0,6000,4 out of 5
3,DELL XPS 15 9560 - Intel Core i7-7700HQ - 512 SSD - 16GB RAM - GeForce GTX 1050 - Windows 10 - 4 GB Dedicated Nvidia GTX 1050 Gaming Laptop - Silver,8499.0,2300,4.3 out of 5
4,DELL Vostro 5581- Intel Core i7- 8th Gen- 8GB RAM-  256GBSSD -2GB Nvidia - Backlit Keyboard - Windows 10 - Black,7000.0,200,3.5 out of 5
5,"DELL Inspiron 15 5584 - 15.6"" - Intel Core i7 8th Gen- 256GB SSD - 8GB RAM - Touch -Win 10 Home - Silver",4599.0,300,4.7 out of 5
6,"DELL Inspiron 3582 - Intel Celeron Dual Core N4000 - 500GB HDD - 4GB RAM - 15.6"" - Windows 10 - Black",1650.0,80,4 out of 5
7,"DELL Inspiron 13 7391 2-in-1 7391 - Intel Core i5-10th Gen- 512GB +32GB SSD, 8GB RAM -Window 10 -Silver",4999.0,36,5 out of 5
8,"DELL Vostro 15 3000 Series - 15.6""- Intel Core i3 - 6200U - 1TB HDD - 4GB RAM - Windows 10 - Black",2379.0,150,4.1 out of 5
9,"DELL Inspiron 3552 - 15.6"" - Intel Dual Core - 500GB HDD - 4GB RAM - Windows 10 - Black",2000.0,100,1 out of 5
10,DELL Inspiron 3582 - Intel Celeron N4000 - 500GB HDD - 4GB RAM And Free HP DeskJet 2620 Printer,2013.0,170,4 out of 5
11,"DELL Latitude 5580 - 15.6"" - Intel Core i5-7200U - 500GB HDD - 4GB RAM - Windows 10 - Black",3899.0,120,4 out of 5
12,DELL HPHS03L7 Inspiron 14 Laptop Replacement Battery - 2200mAh - Black,149.0,200,4 out of 5
13,"DELL Inspiron 3542- 15.6""- Intel Core i3-4005U - 500gB HDD - 4GB RAM - Windows 10 Pro - Black",3000.0,150,4.2 out of 5
14,DELL DL3521LH Inspiron 14 Laptop Replacement Battery - 5200mAh - Black,200.0,200,4.5 out of 5
15,Laptop LCD Hinges Bracket For DELL Latitude D620 D630 D631,65.0,220,5 out of 5
16,ATX PSU 24Pin To Mini 24Pin Connector Cable Adapter For DELL 780 980 760 960 pcs,32.0,200,Not Rated
17,DELL Big Pin Charger For DELL Laptop - 19.5V~3.34A,48.0,200,Not Rated
18,DELL Small Pin Laptop Charger - 19.5V/3.34A,65.0,200,Not Rated
19,DELL Latitude E5500/E5400 Replacement Laptop Battery - Black,120.0,200,Not Rated
20,DELL Big Pin Laptop Charger - 19.5V/6.7A,74.0,100,Not Rated
21,DELL Small Pin Charger -19.5V,72.0,150,Not Rated
22,DELL Generic E6400 Laptop Battery - Grey,120.0,200,Not Rated
23,DELL Inspiron 15 - 1525 - 1526 - 1545 Replacement Battery-4400mAh,123.0,99,Not Rated
24,DELL Big Pin Charger - 19.5V,100.0,128,Not Rated
25,DELL Original Big Pin Adapter - Black,90.0,156,Not Rated
26,DELL D620 D630 Laptop Battery - 4400mAh,150.0,156,Not Rated
27,DELL Inspiron N5010 Notebook Battery - 5200Amh - Black,120.0,160,Not Rated
28,DELL N5010 Inspiron Notebook Replacement Battery - 5200mAh,120.0,0,Not Rated
29,DELL Replacement Battery For  Latitude E5440 E5540 - 5400mAh,150.0,0,Not Rated
30,DELL Replacement Battery for Dell Inspiron 14 1464 15 1564 - 4400mAh,150.0,0,Not Rated
31,"DELL Small Pin Charger -19.5V,4.62A - Black",85.0,0,Not Rated
32,DELL Big Pin Charger - 19.5V~6.7A Black,100.0,0,Not Rated
33,DELL 15 - 1525 - 1526 - 1545 Replacement Battery - 7800mAh,130.0,0,Not Rated
34,"DELL Adapter Charger -19.5V,4.62A - Black",94.0,0,Not Rated
35,"HAWEEL 15.0 inch Sleeve Case Zipper Briefcase Laptop Carrying Bag, Forbook, Samsung, Lenovo, Sony, DELL Alienware, CHUWI, ASUS, HP, 15 inch and Below Laptops(Grey)",69.0,0,Not Rated
36,"USB 3.1 Type-C to USB 3.0/ HD/ Type-C HUB USB-C 3-in-1 Adapter Dongle Dock Cable for Macbook Pro, Dell XPS 13",64.0,0,Not Rated
37,"15.6 inch Fashion Casual Polyester + Nylon Laptop Handbag Briefcase Notebook Cover Case, Forbook, Samsung, Lenovo, Xiaomi, Sony, DELL, CHUWI, ASUS, HP(Grey)",109.0,0,Not Rated
38,"Breathable Wear-resistant Shoulder Handheld Zipper Laptop Bag, For 14 inch and Belowbook, Samsung, Lenovo, Sony, DELL Alienware, CHUWI, ASUS, HP (Navy Blue)",109.0,0,Not Rated
39,Usb 3.1 Type-C To Hdtv Hdmi Adapter 4K/Usb3.0/Type C Convertor Cable Adapter For New Macbook/Chromebook Pixel/Dell Xps13/Yoga 900/Lumia 950Xl/Usb-C Devices To Hdtv/Projector LBQ,128.0,0,Not Rated
48,Laptop Bag Case for MacBook Air 13 Pro 13 Waterproof Notebook Bag for Dell 14 Laptop Messenger Bag for MacBook Pro 15 Case(Red) JUN,243.0,304,Not Rated
49,Laptop Messenger Bag 13.3 14.1 15.4 15.6 17.3 Waterproof Nylon Notebook Bag for Dell 14 Laptop Bag for Macbook Pro 13 Case(Black) JUN,384.0,480,Not Rated
50,"Universal Multi-Function Oxford Cloth Laptop Computer Shoulders Bag Business Backpack Students Bag, Size: 43x29x11cm, For 15.6 inch and Belowbook, Samsung, Lenovo, Sony, DELL Alienware, CHUWI, ASUS, HP(Black)",129.0,184,Not Rated
51,"Universal Double Side Pockets Wearable Oxford Cloth Soft Handle Portable Laptop Tablet Bag, For 13.3 inch and Belowbook, Samsung, Lenovo, Sony, DELL Alienware, CHUWI, ASUS, HP(Magenta)",131.0,262,Not Rated
52,Water Proof Notebook Bag for Dell XPS 15 Computer Bag Fashion Nylon Laptop Bag for Macbook Pro(pink) JTX,403.0,1008,Not Rated
53,Laptop Messenger Bag 13.3 14.1 15.4 15.6 17.3 Waterproof Nylon Notebook Bag for Dell 14 Laptop Case for Macbook Pro 13 Case(Gray) JTX,427.0,1068,Not Rated
54,Bluetooth v2.1 Module 2.4G Wireless PCI Express Card For DELL 370 0P560G 0M960G New -PC Friend( ),65.0,125,Not Rated
55,"Universal Wearable Business Inner Package Laptop Tablet Bag, 14.0 inch and Belowbook, Samsung, Lenovo, Sony, DELL Alienware, CHUWI, ASUS, HP(Black)",99.0,141,Not Rated
56,"Portable One Shoulder Handheld Zipper Laptop Bag, For 11.6 inch and Belowbook, Samsung, Lenovo, Sony, DELL Alienware, CHUWI, ASUS, HP (Blue)",119.0,170,Not Rated
57,Laptop Bag 15.6 15.4 14 13.3 inch Shockproof Computer Bag for MacBook Air 13.3 Waterproof Laptop Messenger Bag for Dell 15(Pink) JUN,329.0,412,Not Rated
58,Wireless Mini PCI WIFI Network Card 2200BG 802.11B/G 54 Mbps High Speed For  for Toshiba Dell Laptop ( ),73.0,125,Not Rated
59,"Universal Multi-Function Canvas Cloth Laptop Computer Shoulders Bag Leisurely Backpack Students Bag, Size: 36x25x10cm, For 13.3 inch and Belowbook, Samsung, Lenovo, Sony, DELL Alienware, CHUWI, ASUS, HP(Baby Blue)",99.0,141,Not Rated
60,Network Cards 150M RT3070 Wireless USB2.0 Network Lan Card Adapter 802.11b/g/n for Dell Apple Laptop PC Computer(Gold),85.0,146,Not Rated
61,"Portable One Shoulder Handheld Zipper Laptop Bag, For 15.4 inch and Belowbook, Samsung, Lenovo, Sony, DELL Alienware, CHUWI, ASUS, HP (Magenta)",129.0,184,Not Rated
62,Laptop Bag for MacBook Pro Air 13 15 Waterproof Notebook Bag for Dell XPS 15 Multi pocket Laptop Bag Case for Xiaomi Pro 15(Gray) JUN,333.0,417,Not Rated
63,Laptop Bag 15.6 15.4 14 13.3 inch Shockproof Computer Bag for MacBook Air 13.3 Waterproof Laptop Messenger Bag for Dell 15(Gray) JTX,374.0,936,Not Rated
64,"Universal Multiple Pockets Wearable Oxford Cloth Soft Portable Simple Business Laptop Tablet Bag, For 15.6 inch and Belowbook, Samsung, Lenovo, Sony, DELL Alienware, CHUWI, ASUS, HP (Light Grey)",129.0,184,Not Rated
65,"Universal Multiple Pockets Wearable Oxford Cloth Soft Portable Leisurely Handle Laptop Tablet Bag, For 15.6 inch and Belowbook, Samsung, Lenovo, Sony, DELL Alienware, CHUWI, ASUS, HP (Pink)",129.0,184,Not Rated
66,"Universal Multi-Function Canvas Cloth Laptop Computer Shoulders Bag Business Backpack Students Bag, Size: 42x29x11cm, For 14 inch and Belowbook, Samsung, Lenovo, Sony, DELL Alienware, CHUWI, ASUS, HP(Grey)",129.0,184,Not Rated
