Product Name,New Price,Old Price,Rating
"Hp Notebook 15 - 15.6"" - Intel Celeron Dual Core - 500GB HDD - 4GB RAM - Windows 10 - Black",1399,1479,4 out of 5
"Lenovo V145 - 15.6"" AMD A4-9125 - 500GB HDD - 4GB RAM - Windows 10 Laptop - Black",1265,1300,3 out of 5
"Lenovo 81D1005PUS IdeaPad 330 - 15.6"" - Intel Celeron N4000 Dual-Core - 1TB HDD - 4GB RAM - Windows 10 - Silver",1749,1610,2 out of 5
"Hp 250 G6 - 15.6"" - Intel Dual Core - 500GB HDD - 4GB RAM - Windows 10 Laptop - Black",1420,4600,1 out of 5
Hp Pavilion 15inch Touch Keylight Laptop-Intel Core i5-1035G1 -1TB HDD-8GB RAM-Windows 10 - Silver,4100,1990,4 out of 5
"Hp 250 G7 - 15.6"" - Intel Dual Core - 500GB HDD - 4GB RAM - Windows 10 - Grey",1803,884,4.1 out of 5
"Hp  15-bs212wm - 15.6"" - Intel Celeron - 500GB HDD - 4GB RAM - Windows 10 - Black",1484,6500,4 out of 5
"Apple MacBook Pro - 13.3"" - Intel Core i5 @2.9GHz - 256GB HDD - 8GB RAM -  Silver",11552,9000,3.7 out of 5
DELL Inspiron 15-15 30005 - 2.7GHz Intel Core i3 7130U Processor - 1 TB HDD - 8GB RAM - Windows 10 - Black,2680,7500,4 out of 5
"N1001 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - Pink",619,1850,4.4 out of 5
"Hp Envy 15-CN1073WM x360 - 15.6"" - Core i7-8565U - 256 SSD - 16GB RAM - Windows 10 - Chocolate",6100,10000,4.2 out of 5
Hp 15-CE198WM - OMEN - 15.6 Inch - Intel Core i7-8500HQ - 8th Gen - 1TB HDD+256SSD - 16GB RAM -6GB NVIDIA 1060- Windows 10 - Black + Free Mouse,7700,2900,3.8 out of 5
"Hp Gaming Pavilion RYZEN 7-3700 16GB RAM, 512gb SSD, RX Vega 10 ,Touchcreen - Natural silver",5500,913,5 out of 5
"DELL Inspiron 3582 - Intel Celeron Dual Core N3060 - 500GB HDD - 4GB RAM - 15.6"" - Windows 10 - Black",1530,4299,5 out of 5
15.6 inches Front and Back Laptop Sticker - Camuoflage,35,10500,3.4 out of 5
"Lenovo ThinkPad T490/P43s - 14.0"" Inches - Intel Core i7-8565U - 512GB SSD - 16GB RAM - Windows 10 - Black",9600,7100,3.6 out of 5
